Place_Id,Place_Name,Category,City,Rating,Price,Description,tags
11,Pulau Bidadari,Bahari,Jakarta,4.6,5000,"Pulau Bidadari merupakan salah satu resor di Kabupaten Kepulauan Seribu, Jakarta. Sebelum bernama Pulau Bidadari, pulau ini memiliki dua nama yaitu Pulau Sakit dan Pulau Purmerend",pulau bidadari rupa salah satu resor di kabupaten pulau ribu jakarta belum nama pulau bidadari pulau ini milik dua nama yaitu pulau sakit dan pulau purmerend bahari bahari bahari bahari bahari jakarta jakarta jakarta jakarta jakarta 
12,Pulau Pari,Bahari,Jakarta,4.0,150000,"Pulau Pari adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia.",pulau pari adalah buah pulau yang letak di pulau ribu di daerah khusus ibukota jakarta indonesia bahari bahari bahari bahari bahari jakarta jakarta jakarta jakarta jakarta 
13,Pulau Pramuka,Bahari,Jakarta,4.2,5000,Pulau Pramuka merupakan salah satu pulau yang berada dalam gugusan Kepulauan Seribu. Pulau ini merupakan pusat administrasi dan pemerintahan Kabupaten Administrasi Kepulauan Seribu. Pulau Pramuka termasuk ke dalam wilayah Kelurahan Pulau Panggang.,pulau pramuka rupa salah satu pulau yang ada dalam gugus pulau ribu pulau ini rupa pusat administrasi dan perintah kabupaten administrasi pulau ribu pulau pramuka masuk ke dalam wilayah lurah pulau panggang bahari bahari bahari bahari bahari jakarta jakarta jakarta jakarta jakarta 
14,Pulau Pelangi,Bahari,Jakarta,4.8,900000,"Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia. Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia, Pulau Pelangi / biasa disebut Pulau Petondan Besar ( Pelangi Island ) merupakan pulau resort yang sesuai untuk berlibur. Pulau Resort ini mempunyai konsep natural, karena sebagian wilayahnya di penuhi dengan rerimbunan pohon yang menyejukan mata, Keindahan alam dan lautnya layak untuk dikunjungi. Dikelilingi oleh rimbunan pohon dan laut berwarana biru jernih membuat suasanan sejuk dan nyaman. Kondisi yang ideal untuk wisata bersama keluarga. Dengan akomodasi yang langsung menghadap ke laut membuat turis betah berlama-lama di Pulau Pelangi.\nMenurut informasi, Pulau Pelangi atau Pulau Petondan Besar merupakan pulau yang berada pada gugusan Kepulauan Seribu. Secara administratif termasuk dalam wilayah Kabupaten Administratif Kepulauan Seribu provinsi DKI Jakarta. Bersamaan dengan Pulau Petondan Kecil merupakan sebuah resort berlibur. Letaknya berdekatan dengan gugusan yang sama dengan Pulau Kelor dan Pulau Kelapa.\nUntuk mencapai Pelangi Resort dibutuhkan waktu 90 menit perjalanan dari dermaga Pantai Mutiara. Terdapat kapal speedboat khusus di pier R1 Pantai Mutiara yang membawa penumpang kesana. Letaknya 60 – 70 km dari Pantai Mutiara memang lumayan jauh. Namun perjalanan anda terbayar lunas begitu sampai di Pulau Pelangi.",pulau pelangi adalah buah pulau yang letak di pulau ribu di daerah khusus ibukota jakarta indonesia pulau pelangi adalah buah pulau yang letak di pulau ribu di daerah khusus ibukota jakarta indonesia pulau pelangi biasa sebut pulau petondan besar pelangi island rupa pulau resort yang sesuai untuk libur pulau resort ini punya konsep natural karena bagi wilayah di penuh dengan rimbun pohon yang sejuk mata indah alam dan laut layak untuk kunjung keliling oleh rimbun pohon dan laut berwarana biru jernih buat suasanan sejuk dan nyaman kondisi yang ideal untuk wisata sama keluarga dengan akomodasi yang langsung hadap ke laut buat turis betah lama lama di pulau pelangi nmenurut informasi pulau pelangi atau pulau petondan besar rupa pulau yang ada pada gugus pulau ribu cara administratif masuk dalam wilayah kabupaten administratif pulau ribu provinsi dki jakarta sama dengan pulau petondan kecil rupa buah resort libur letak dekat dengan gugus yang sama dengan pulau kelor dan pulau kelapa nuntuk capai pelangi resort butuh waktu 90 menit jalan dari dermaga pantai mutiara dapat kapal speedboat khusus di pier r1 pantai mutiara yang bawa tumpang kesana letak 60 70 km dari pantai mutiara memang lumayan jauh namun jalan anda bayar lunas begitu sampai di pulau pelangi bahari bahari bahari bahari bahari jakarta jakarta jakarta jakarta jakarta 
15,Pasar Seni,Pusat Perbelanjaan,Jakarta,4.4,0,"Pasar Seni merupakan Pusat kerajinan dan kesenian yang menjadi wadah bagi seniman berbakat untuk menyalurkan kerajinan seni yang mereka miliki. Seniman dapat bertemu dengan para kolektor seni dan pengusaha untuk saling berbagi informasi dan memasarkan produk yang dimiliki. Didirikan awal tahun 1977, dengan peletakan batu pertama oleh Bang Ali Sadikin, Gubernur pertama DKI Jakarta, tepatnya pada bulan Juli 1977. Dan diresmikan oleh Gubernur H. Tjokropanolo pada tanggal 17 Desember 1977. Sejak diresmikan Pasar Seni, mendapat sambutan positif bagi pada pecinta seni yang ada.",pasar seni rupa pusat rajin dan seni yang jadi wadah bagi seniman bakat untuk salur rajin seni yang mereka milik seniman dapat temu dengan para kolektor seni dan usaha untuk saling bagi informasi dan pasar produk yang milik diri awal tahun 1977 dengan leta batu pertama oleh bang ali sadikin gubernur pertama dki jakarta tepat pada bulan juli 1977 dan resmi oleh gubernur h tjokropanolo pada tanggal 17 desember 1977 sejak resmi pasar seni dapat sambut positif bagi pada cinta seni yang ada pusat belanja pusat belanja pusat belanja pusat belanja pusat belanja jakarta jakarta jakarta jakarta jakarta 
16,Jembatan Kota Intan,Budaya,Jakarta,4.3,0,"Jembatan Kota Intan adalah jembatan tertua di Indonesia yang dibangun pada tahun 1628 oleh pemerintah Vereenigde Oostindische Compagnie atau VOC, atau masyarakat kita lebih familiar dengan sebutan Kumpeni. Jembatan itu kini terletak di Kali Besar kawasan Kota Tua wilayah Jakarta Barat dan berada di bawah pengelolaan Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta.",jembatan kota intan adalah jembatan tua di indonesia yang bangun pada tahun 1628 oleh perintah vereenigde oostindische compagnie atau voc atau masyarakat kita lebih familiar dengan sebut kumpeni jembatan itu kini letak di kali besar kawasan kota tua wilayah jakarta barat dan ada di bawah kelola dinas pariwisata dan budaya provinsi dki jakarta budaya budaya budaya budaya budaya jakarta jakarta jakarta jakarta jakarta 
17,Museum Fatahillah,Budaya,Jakarta,4.4,5000,"Museum Fatahillah memiliki nama resmi Museum Sejarah Jakarta adalah sebuah museum yang terletak di Jalan Taman Fatahillah No. 1, Jakarta Barat dengan luas lebih dari 1.300 meter persegi.\nBangunan ini dahulu merupakan balai kota Batavia (bahasa Belanda: Stadhuis van Batavia) yang dibangun pada tahun 1707-1710 atas perintah Gubernur-Jendral Joan van Hoorn. Bangunan ini menyerupai Istana Dam di Amsterdam, terdiri atas bangunan utama dengan dua sayap di bagian timur dan barat serta bangunan sanding yang digunakan sebagai kantor, ruang pengadilan, dan ruang-ruang bawah tanah yang dipakai sebagai penjara. Pada tanggal 30 Maret 1974, bangunan ini kemudian diresmikan oleh bapak Ali Sadikin sebagai Museum Sejarah Jakarta.",museum fatahillah milik nama resmi museum sejarah jakarta adalah buah museum yang letak di jalan taman fatahillah no 1 jakarta barat dengan luas lebih dari 1 300 meter persegi nbangunan ini dahulu rupa balai kota batavia bahasa belanda stadhuis van batavia yang bangun pada tahun 1707 1710 atas perintah gubernur jendral joan van hoorn bangun ini rupa istana dam di amsterdam diri atas bangun utama dengan dua sayap di bagi timur dan barat serta bangun sanding yang guna bagai kantor ruang adil dan ruang ruang bawah tanah yang pakai bagai penjara pada tanggal 30 maret 1974 bangun ini kemudian resmi oleh bapak ali sadikin bagai museum sejarah jakarta budaya budaya budaya budaya budaya jakarta jakarta jakarta jakarta jakarta 
18,Museum Bank Indonesia,Budaya,Jakarta,4.7,2000,"Museum Bank Indonesia adalah sebuah museum di Jakarta, Indonesia yang terletak di Jl. Pintu Besar Utara No.3, Jakarta Barat (depan stasiun Beos Kota), dengan menempati area bekas gedung Bank Indonesia Kota yang merupakan cagar budaya peninggalan De Javasche Bank yang beraliran neo-klasikal, dipadu dengan pengaruh lokal, dan dibangun pertama kali pada tahun 1828.\nPada tahun 1625, di tempat ini pernah dibangun sebuah gereja sederhana untuk umat Protestan. Pada tahun 1628, gereja ini dibongkar karena digunakan untuk tempat meriam besar ketika puluhan ribu tentara Sultan Agung menyerang Batavia untuk pertama kali.Museum ini menyajikan informasi peran Bank Indonesia dalam perjalanan sejarah bangsa yang dimulai sejak sebelum kedatangan bangsa barat di Nusantara hingga terbentuknya Bank Indonesia pada tahun 1953 dan kebijakan-kebijakan Bank Indonesia, meliputi pula latar belakang dan dampak kebijakan Bank Indonesia bagi masyarakat sampai dengan tahun 2005. Penyajiannya dikemas sedemikian rupa dengan memanfaatkan teknologi modern dan multi media, seperti display elektronik, panel statik, televisi plasma, dan diorama sehingga menciptakan kenyamanan pengunjung dalam menikmati Museum Bank Indonesia. Selain itu terdapat pula fakta dan koleksi benda bersejarah pada masa sebelum terbentuknya Bank Indonesia, seperti pada masa kerajaan-kerajaan Nusantara, antara lain berupa koleksi uang numismatik yang ditampilkan juga secara menarik.\nPeresmian Museum Bank Indonesia dilakukan melalui dua tahap, yaitu peresmian tahap I dan mulai dibuka untuk masyarakat (soft opening) pada tanggal 15 Desember 2006 oleh Gubernur Bank Indonesia saat itu, Burhanuddin Abdullah, dan peresmian tahap II (grand opening) oleh Presiden RI Susilo Bambang Yudhoyono, pada tanggal 21 Juli 2009.\nMuseum Bank Indonesia buka setiap hari kecuali Senin dan hari libur nasional.",museum bank indonesia adalah buah museum di jakarta indonesia yang letak di jl pintu besar utara no 3 jakarta barat depan stasiun beos kota dengan tempat area bekas gedung bank indonesia kota yang rupa cagar budaya tinggal de javasche bank yang alir neo klasikal padu dengan pengaruh lokal dan bangun pertama kali pada tahun 1828 npada tahun 1625 di tempat ini pernah bangun buah gereja sederhana untuk umat protestan pada tahun 1628 gereja ini bongkar karena guna untuk tempat meriam besar ketika puluh ribu tentara sultan agung serang batavia untuk pertama kali museum ini saji informasi peran bank indonesia dalam jalan sejarah bangsa yang mulai sejak belum datang bangsa barat di nusantara hingga bentuk bank indonesia pada tahun 1953 dan bijak bijak bank indonesia liput pula latar belakang dan dampak bijak bank indonesia bagi masyarakat sampai dengan tahun 2005 saji kemas demikian rupa dengan manfaat teknologi modern dan multi media seperti display elektronik panel statik televisi plasma dan diorama sehingga cipta nyaman unjung dalam nikmat museum bank indonesia selain itu dapat pula fakta dan koleksi benda sejarah pada masa belum bentuk bank indonesia seperti pada masa raja raja nusantara antara lain upa koleksi uang numismatik yang tampil juga cara tarik nperesmian museum bank indonesia laku lalu dua tahap yaitu resmi tahap i dan mulai buka untuk masyarakat soft opening pada tanggal 15 desember 2006 oleh gubernur bank indonesia saat itu burhanuddin abdullah dan resmi tahap ii grand opening oleh presiden ri susilo bambang yudhoyono pada tanggal 21 juli 2009 nmuseum bank indonesia buka tiap hari kecuali senin dan hari libur nasional budaya budaya budaya budaya budaya jakarta jakarta jakarta jakarta jakarta 
19,Kidzania,Taman Hiburan,Jakarta,4.6,185000,"KidZania adalah sebuah waralaba swasta Meksiko berupa pusat hiburan keluarga yang saat ini beroperasi di 23 lokasi, yang memungkinkan anak-anak melakukan pekerjaan orang dewasa dan mendapat bayaran. KidZania telah dikunjungi oleh lebih dari 31 juta pengunjung di seluruh dunia sejak pembukaannya, menjadikannya salah satu merek hiburan global yang paling cepat berkembang di dunia.",kidzania adalah buah waralaba swasta meksiko upa pusat hibur keluarga yang saat ini operasi di 23 lokasi yang mungkin anak anak laku kerja orang dewasa dan dapat bayar kidzania telah kunjung oleh lebih dari 31 juta unjung di seluruh dunia sejak buka jadi salah satu merek hibur global yang paling cepat kembang di dunia taman hibur taman hibur taman hibur taman hibur taman hibur jakarta jakarta jakarta jakarta jakarta 
20,Museum Taman Prasasti,Budaya,Jakarta,4.5,2000,"Museum Taman Prasasti adalah sebuah museum cagar budaya peninggalan masa kolonial Belanda yang berada di Jalan Tanah Abang No. 1, Jakarta Pusat. Museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di Indonesia, beserta koleksi kereta jenazah antik. Museum seluas 1,2 ha ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan para pematung, pemahat, kaligrafer dan sastrawan yang menyatu.",museum taman prasasti adalah buah museum cagar budaya tinggal masa kolonial belanda yang ada di jalan tanah abang no 1 jakarta pusat museum ini milik koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di indonesia serta koleksi kereta jenazah antik museum luas 1 2 ha ini rupa museum buka yang tampil karya seni dari masa lampau tentang canggih para patung pahat kaligrafer dan sastrawan yang satu budaya budaya budaya budaya budaya jakarta jakarta jakarta jakarta jakarta 
21,Museum Wayang,Budaya,Jakarta,4.5,5000,"Museum Wayang adalah sebuah museum yang berlokasi di Jalan Pintu Besar Utara Nomor 27, Jakarta Barat.",museum wayang adalah buah museum yang lokasi di jalan pintu besar utara nomor 27 jakarta barat budaya budaya budaya budaya budaya jakarta jakarta jakarta jakarta jakarta 
22,Masjid Istiqlal,Tempat Ibadah,Jakarta,4.7,0,"Masjid Istiqlal (arti harfiah: Masjid Merdeka) adalah masjid nasional negara Republik Indonesia yang terletak di bekas Taman Wilhelmina, di Timur Laut Lapangan Medan Merdeka yang di tengahnya berdiri Monumen Nasional (Monas), di pusat ibukota Jakarta. Masjid ini merupakan salah satu dari 10 masjid terbesar kapasitasnya di dunia yang dapat menampung lebih dari 200.000 jamaah. Di seberang Timur masjid ini berdiri Gereja Katedral Jakarta. Ketua Harian Badan Pengelola Masjid Istiqlal (BPMI) sekaligus Imam Besar Masjid Istiqlal adalah Prof. Dr. Nasaruddin Umar, M.A. Pembangunan masjid ini diprakarsai oleh Presiden Republik Indonesia saat itu, Ir. Soekarno. Peletakan batu pertama sebagai tanda dimulainya pembangunan Masjid Istiqlal dilakukan oleh Ir. Soekarno pada tanggal 24 Agustus 1961. Arsitek Masjid Istiqlal adalah Frederich Silaban, seorang Nasrani.Masjid ini memiliki gaya arsitektur modern dengan dinding dan lantai berlapis marmer, dihiasi ornamen geometrik dari baja antikarat. Bangunan utama masjid ini terdiri dari lima lantai dan satu lantai dasar. Bangunan utama itu dimahkotai satu kubah besar berdiameter 45 meter yang ditopang 12 tiang besar. Menara tunggal setinggi total 96,66 meter menjulang di sudut Selatan selasar masjid. Masjid ini mampu menampung lebih dari 200.000 jamaah.Selain digunakan sebagai aktivitas ibadah umat Islam, masjid ini juga digunakan sebagai kantor berbagai organisasi Islam di Indonesia, aktivitas sosial, dan kegiatan umum. Masjid ini juga menjadi salah satu daya tarik wisata yang terkenal di Jakarta. Kebanyakan wisatawan yang berkunjung umumnya wisatawan domestik di samping sebagian wisatawan asing yang beragama Islam. Masyarakat non-Muslim juga dapat berkunjung ke masjid ini setelah sebelumnya mendapat pembekalan informasi mengenai Islam dan Masjid Istiqlal, meskipun bagian yang boleh dikunjungi kaum non-Muslim terbatas dan harus didampingi pemandu.\nPada tiap hari besar Islam seperti Ramadhan, Idul Fitri, Idul Adha, Tahun Baru Hijriyah, Maulid Nabi Muhammad serta Isra dan Mi'raj, Presiden Republik Indonesia selalu mengadakan kegiatan keagamaan di masjid ini yang disiarkan secara langsung melalui televisi nasional (TVRI) dan sebagian televisi swasta.",masjid istiqlal arti harfiah masjid merdeka adalah masjid nasional negara republik indonesia yang letak di bekas taman wilhelmina di timur laut lapang medan merdeka yang di tengah diri monumen nasional monas di pusat ibukota jakarta masjid ini rupa salah satu dari 10 masjid besar kapasitas di dunia yang dapat tampung lebih dari 200 000 jamaah di seberang timur masjid ini diri gereja katedral jakarta ketua hari badan kelola masjid istiqlal bpmi sekaligus imam besar masjid istiqlal adalah prof dr nasaruddin umar m a bangun masjid ini prakarsa oleh presiden republik indonesia saat itu ir soekarno leta batu pertama bagai tanda mula bangun masjid istiqlal laku oleh ir soekarno pada tanggal 24 agustus 1961 arsitek masjid istiqlal adalah frederich silaban orang nasrani masjid ini milik gaya arsitektur modern dengan dinding dan lantai lap marmer hias ornamen geometrik dari baja antikarat bangun utama masjid ini diri dari lima lantai dan satu lantai dasar bangun utama itu mahkota satu kubah besar diameter 45 meter yang topang 12 tiang besar menara tunggal setinggi total 96 66 meter julang di sudut selatan selasar masjid masjid ini mampu tampung lebih dari 200 000 jamaah selain guna bagai aktivitas ibadah umat islam masjid ini juga guna bagai kantor bagai organisasi islam di indonesia aktivitas sosial dan giat umum masjid ini juga jadi salah satu daya tarik wisata yang kenal di jakarta banyak wisatawan yang kunjung umum wisatawan domestik di samping bagi wisatawan asing yang agama islam masyarakat non muslim juga dapat kunjung ke masjid ini telah belum dapat bekal informasi kena islam dan masjid istiqlal meski bagi yang boleh kunjung kaum non muslim batas dan harus damping pandu npada tiap hari besar islam seperti ramadhan idul fitri idul adha tahun baru hijriyah maulid nabi muhammad serta isra dan mi raj presiden republik indonesia selalu ada giat agama di masjid ini yang siar cara langsung lalu televisi nasional tvri dan bagi televisi swasta tempat ibadah tempat ibadah tempat ibadah tempat ibadah tempat ibadah jakarta jakarta jakarta jakarta jakarta 
23,Gereja Katedral,Tempat Ibadah,Jakarta,4.8,0,"Gereja Katedral Jakarta, atau bernama resmi Gereja Santa Maria Diangkat Ke Surga (bahasa Jerman: De Kerk van Onze Lieve Vrouwe ten Hemelopneming; bahasa Inggris: The Church of Our Lady of the Assumption) adalah sebuah gereja di Jakarta. Gedung gereja ini diresmikan pada 1901 dan dibangun dengan arsitektur neo-gotik dari Eropa, yakni arsitektur yang sangat lazim digunakan untuk membangun gedung gereja beberapa abad yang lalu.",gereja katedral jakarta atau nama resmi gereja santa maria angkat ke surga bahasa jerman de kerk van onze lieve vrouwe ten hemelopneming bahasa inggris the church of our lady of the assumption adalah buah gereja di jakarta gedung gereja ini resmi pada 1901 dan bangun dengan arsitektur neo gotik dari eropa yakni arsitektur yang sangat lazim guna untuk bangun gedung gereja beberapa abad yang lalu tempat ibadah tempat ibadah tempat ibadah tempat ibadah tempat ibadah jakarta jakarta jakarta jakarta jakarta 
